"","hour","x","lat","lon"
"110","2016-01-05 13:00:00",12,43.066828,-89.387366
"111","2016-01-05 14:00:00",23,43.066828,-89.387366
"112","2016-01-05 15:00:00",17,43.066828,-89.387366
"113","2016-01-05 16:00:00",51,43.066828,-89.387366
"114","2016-01-05 17:00:00",46,43.066828,-89.387366
"115","2016-01-05 18:00:00",37,43.066828,-89.387366
"116","2016-01-05 19:00:00",16,43.066828,-89.387366
"117","2016-01-05 20:00:00",9,43.066828,-89.387366
"118","2016-01-05 21:00:00",5,43.066828,-89.387366
"119","2016-01-05 22:00:00",2,43.066828,-89.387366
"120","2016-01-05 23:00:00",5,43.066828,-89.387366
"121","2016-01-06 00:00:00",1,43.066828,-89.387366
"122","2016-01-06 01:00:00",1,43.066828,-89.387366
"123","2016-01-06 02:00:00",1,43.066828,-89.387366
"124","2016-01-06 03:00:00",1,43.066828,-89.387366
"125","2016-01-06 04:00:00",0,43.066828,-89.387366
"126","2016-01-06 05:00:00",5,43.066828,-89.387366
"127","2016-01-06 06:00:00",13,43.066828,-89.387366
"128","2016-01-06 07:00:00",37,43.066828,-89.387366
"129","2016-01-06 08:00:00",52,43.066828,-89.387366
"130","2016-01-06 09:00:00",31,43.066828,-89.387366
"131","2016-01-06 10:00:00",13,43.066828,-89.387366
"132","2016-01-06 11:00:00",11,43.066828,-89.387366
"133","2016-01-06 12:00:00",17,43.066828,-89.387366
"134","2016-01-06 13:00:00",15,43.066828,-89.387366
"135","2016-01-06 14:00:00",29,43.066828,-89.387366
"136","2016-01-06 15:00:00",26,43.066828,-89.387366
"137","2016-01-06 16:00:00",45,43.066828,-89.387366
"138","2016-01-06 17:00:00",56,43.066828,-89.387366
"139","2016-01-06 18:00:00",29,43.066828,-89.387366
"140","2016-01-06 19:00:00",17,43.066828,-89.387366
"141","2016-01-06 20:00:00",11,43.066828,-89.387366
"142","2016-01-06 21:00:00",7,43.066828,-89.387366
"143","2016-01-06 22:00:00",7,43.066828,-89.387366
"144","2016-01-06 23:00:00",6,43.066828,-89.387366
"145","2016-01-07 00:00:00",2,43.066828,-89.387366
"146","2016-01-07 01:00:00",1,43.066828,-89.387366
"147","2016-01-07 02:00:00",1,43.066828,-89.387366
"148","2016-01-07 03:00:00",0,43.066828,-89.387366
"149","2016-01-07 04:00:00",0,43.066828,-89.387366
"150","2016-01-07 05:00:00",3,43.066828,-89.387366
"151","2016-01-07 06:00:00",12,43.066828,-89.387366
"152","2016-01-07 07:00:00",33,43.066828,-89.387366
"153","2016-01-07 08:00:00",33,43.066828,-89.387366
"154","2016-01-07 09:00:00",25,43.066828,-89.387366
"155","2016-01-07 10:00:00",21,43.066828,-89.387366
"156","2016-01-07 11:00:00",10,43.066828,-89.387366
"157","2016-01-07 12:00:00",14,43.066828,-89.387366
"158","2016-01-07 13:00:00",9,43.066828,-89.387366
"159","2016-01-07 14:00:00",9,43.066828,-89.387366
"160","2016-01-07 15:00:00",25,43.066828,-89.387366
"161","2016-01-07 16:00:00",25,43.066828,-89.387366
"162","2016-01-07 17:00:00",42,43.066828,-89.387366
"163","2016-01-07 18:00:00",18,43.066828,-89.387366
"164","2016-01-07 19:00:00",10,43.066828,-89.387366
"165","2016-01-07 20:00:00",8,43.066828,-89.387366
"166","2016-01-07 21:00:00",7,43.066828,-89.387366
"167","2016-01-07 22:00:00",6,43.066828,-89.387366
"168","2016-01-07 23:00:00",5,43.066828,-89.387366
"169","2016-01-08 00:00:00",1,43.066828,-89.387366
"170","2016-01-08 01:00:00",0,43.066828,-89.387366
"171","2016-01-08 02:00:00",0,43.066828,-89.387366
"172","2016-01-08 03:00:00",0,43.066828,-89.387366
"173","2016-01-08 04:00:00",0,43.066828,-89.387366
"174","2016-01-08 05:00:00",2,43.066828,-89.387366
"175","2016-01-08 06:00:00",6,43.066828,-89.387366
"176","2016-01-08 07:00:00",29,43.066828,-89.387366
"177","2016-01-08 08:00:00",35,43.066828,-89.387366
"178","2016-01-08 09:00:00",16,43.066828,-89.387366
"179","2016-01-08 10:00:00",12,43.066828,-89.387366
"180","2016-01-08 11:00:00",4,43.066828,-89.387366
"181","2016-01-08 12:00:00",7,43.066828,-89.387366
"182","2016-01-08 13:00:00",4,43.066828,-89.387366
"183","2016-01-08 14:00:00",12,43.066828,-89.387366
"184","2016-01-08 15:00:00",22,43.066828,-89.387366
"185","2016-01-08 16:00:00",26,43.066828,-89.387366
"186","2016-01-08 17:00:00",37,43.066828,-89.387366
"187","2016-01-08 18:00:00",15,43.066828,-89.387366
"188","2016-01-08 19:00:00",7,43.066828,-89.387366
"189","2016-01-08 20:00:00",4,43.066828,-89.387366
"190","2016-01-08 21:00:00",4,43.066828,-89.387366
"191","2016-01-08 22:00:00",8,43.066828,-89.387366
"192","2016-01-08 23:00:00",6,43.066828,-89.387366
"193","2016-01-09 00:00:00",2,43.066828,-89.387366
"194","2016-01-09 01:00:00",2,43.066828,-89.387366
"195","2016-01-09 02:00:00",5,43.066828,-89.387366
"196","2016-01-09 03:00:00",0,43.066828,-89.387366
"197","2016-01-09 04:00:00",1,43.066828,-89.387366
"198","2016-01-09 05:00:00",0,43.066828,-89.387366
"199","2016-01-09 06:00:00",4,43.066828,-89.387366
"200","2016-01-09 07:00:00",12,43.066828,-89.387366
"201","2016-01-09 08:00:00",4,43.066828,-89.387366
"202","2016-01-09 09:00:00",16,43.066828,-89.387366
"203","2016-01-09 10:00:00",15,43.066828,-89.387366
"204","2016-01-09 11:00:00",26,43.066828,-89.387366
"205","2016-01-09 12:00:00",10,43.066828,-89.387366
"206","2016-01-09 13:00:00",21,43.066828,-89.387366
"207","2016-01-09 14:00:00",26,43.066828,-89.387366
"208","2016-01-09 15:00:00",19,43.066828,-89.387366
"209","2016-01-09 16:00:00",17,43.066828,-89.387366
"210","2016-01-09 17:00:00",12,43.066828,-89.387366
"211","2016-01-09 18:00:00",2,43.066828,-89.387366
"212","2016-01-09 19:00:00",3,43.066828,-89.387366
"213","2016-01-09 20:00:00",5,43.066828,-89.387366
"214","2016-01-09 21:00:00",6,43.066828,-89.387366
"215","2016-01-09 22:00:00",3,43.066828,-89.387366
"216","2016-01-09 23:00:00",4,43.066828,-89.387366
"217","2016-01-10 00:00:00",3,43.066828,-89.387366
"218","2016-01-10 01:00:00",1,43.066828,-89.387366
